1	一捧雪記四卷	廣州五桂堂板	俗文學叢刊469冊	/	/	南音-木魚書	88	俗：梁天來四卷；佛圖有其他本。
148	2-仁貴歸家（正字龍舟仁貴歸家）四卷	以文堂板	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	14	倆內容同（後者卷間加了書名頁）、藏板不同。前者各卷端著錄五桂堂機器板，後者前二卷標註堂藏板，後二卷標以文堂板。後者底本較好。如選底本，建議後者。俗：廣州以文堂機器板
149	2-仁貴歸家（正字龍舟仁貴歸家）四卷	以文堂板	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	14	倆內容同（後者卷間加了書名頁）、藏板不同。前者各卷端著錄五桂堂機器板，後者前二卷標註堂藏板，後二卷標以文堂板。後者底本較好。如選底本，建議後者。俗：廣州以文堂機器板
150	什錦解肺（核查書名）	廣州以文堂	俗文學叢刊417冊（煙花什錦？）	/	/	龍舟歌	3	/
151	仇合三奇	萃英樓板	廣東省立中山圖書館	全	選	南音-木魚書？	84	書名頁：“新編仇合三奇記全本”
152	1-反唐女媧鏡四卷	以文堂板	金文京私藏	全	/	南音-木魚書	60	內容同，2資料清晰，建議選2
153	2-新刻正字反唐女媧鏡全本（反唐女媧鏡全本）四卷	醉經書局 機器板	英國倫敦大學亞非學院圖書館	全	選	南音-木魚書	48	2目錄題新刻正字機器板反唐硃砂印全本
154	3-新刻反唐女媧鏡全本（正字南音反唐女媧鏡全本）四卷	香港五桂堂 機器板	法國陳慶浩	未檢查	/	南音-木魚書	59	另北師大有廣東五桂堂本
155	六女投江記二卷 梁氏撰	民國鉛印本	順德區圖書館	殘	選	南音-木魚書	55	未檢查
156	六女投江一卷	民國廣州民智書店鉛印本	順德區圖書館	/	/	/	54	未檢查，另鐵文軒有藏
157	新婿上廳（六姑回門）	廣州五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌？	4頁	核對書名，看是否需要調整順序。
158	訂正新刻全本六姑回門送嫁哭嘆時文（六姑回門）三卷	省港五桂堂重刊 機器板	廣東省立中山圖書館	全	選	南音-木魚書	29	華師大有丹桂堂本
159	1-新選全本六姑回門送嫁哭嘆時文（六姑回門全本內附送嫁對答嘆歌）三卷 六姑回門送嫁歌文三卷	廣文堂刻本	德國巴伐利亞州立圖書館	全	選	南音-木魚書	37	按：1、2主體內容與55條同，用詞用字有異，1全2殘，建議55與1同時收錄。
160	2-新刻六姑回門全本（六姑回門全本內附送嫁對答嘆歌）三卷（存卷下）	廣州以文堂木刻本	中山大學中國非物質文化遺產研究中心	缺	/	南音-木魚書	/	按：1、2主體內容與55條同，用詞用字有異，1全2殘，建議55與1同時收錄。
161	新選六美圖（新刻六美圖全本）四集二十四卷 漳江閒情居士訂	佛山芹香閣據正同文堂刻本改板印行刻本	廣東省立中山圖書館	殘	選	南音？	485	初集卷六缺P7；四集卷五缺P18半頁P19半頁。
162	文德還庚一卷	廣州丹柱堂木刻本	鐵文軒	/	/	/	3	未徵集，封面題南音
163	方倫薦別	佛山芹香閣刻本	鐵文軒	/	/	龍舟歌？	4	未徵集
164	宣統元年正月初九晚火燒大沙頭故事	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	/
165	火燒阿房宮三卷	廣州五桂堂木刻本	鐵文軒	殘	/	/	30	標註為南音。未徵集
166	孔子博學	廣州以文堂板	俗文學叢刊414冊	/	/	龍舟歌	/	/
167	孔子博學	廣州五桂堂機器板	順德區圖書館	/	/	龍舟歌	/	與重訂西蓬擊掌合訂，未檢查
168	3-孔懷兄弟（版心高文舉珍珠記）	以文堂機器板	廣東省立中山圖書館	/	/	/	2	存卷三P6-7，不收？
169	1-孔明掃琴（孔明訴琴）	廣州醉經書局據舊板刻改本印行	廣東省立中山圖書館	全	/	龍舟歌	3	1封面孔明訴琴。卷端孔明掃琴。
170	1-孔明掃琴（孔明訴琴）	廣州醉經書局據舊板刻改本印行	廣東省立中山圖書館	全	/	龍舟歌	3	倆內容同，後者底本稍好。
171	2-孔明掃琴	省港五桂堂書局機器板	廣東省立中山圖書館	全	選	龍舟歌	3	俗：廣州以文堂善文堂板。
172	1-新刻正字玉葵寶扇（玉葵寶扇全本）四卷	醉經堂機器板	佛山市博物館	全	選	南音-木魚書	65	按： 2與4同，與3內容同，版式同，4殘。1與其他內容大體同，但不少措辭有別，版本全，底本較好，建議收1與2或1與3。
173	2-新刻正字玉葵寶扇（正字玉葵寶扇）四卷	省港五桂堂機器板	廣東省立中山圖書館	全	待定	南音-木魚書	67	另306與上主體內容同，措辭有異。建議移入一起同時收錄。
174	3-新刻正字玉葵寶扇（正字玉葵寶扇）四卷	大成書局機器板	廣州圖書館	全	待定	南音-木魚書	65	/
175	4-新刻正字玉葵寶扇（正字玉葵寶扇）四卷	廣州省港五桂堂機器板	廣州圖書館	殘	/	南音-木魚書	67	/
176	新刻玉葵寶扇（玉葵寶扇全本）四卷（缺卷一）	廣州廣文堂刻本	德國巴伐利亞州立圖書館	/	/	南音-木魚書	/	/
177	新刻正字玉葵寶扇：四卷(缺卷一)	民國四年廣州以文堂機器板	順德區圖書館	缺	/	南音-木魚書	46	未檢查
178	玉蟬問覡（新出龍舟歌玉蟬問米）	五桂堂	廣州圖書館	殘	待定	龍舟歌	1	存封面與卷上P1。408-1 解攜籃中包含玉蟬問覡。主體內容同，版式、個別用字異。此處不收？
179	玉蟬嘆五更（新出龍舟歌玉嬋嘆更）	廣州五桂堂	廣州圖書館	全	/	龍舟歌	4	封面用“嬋”，卷端卷末用“蟬”。為408-3之一部分，是否收錄？請定。
180	玉簫琴（玉簫琴）三卷	廣州五桂堂機器板	廣東省立中山圖書館	全	選	南音？	10	傅斯年入龍舟歌，書名題南音。71與280主體內容同，卷端及用字有異，建議二者均收。
181	新玉簫琴記南音二卷	廣州右經堂同治八年刻本	日本京都大學人文科學研究所	全	選	南音	8	與336比對。按：與71條主體內容同，個別地方有異，建議將其移至71條，同時收錄。
182	1-新送玉簫琴全本（玉簫琴）二集八卷（前集4卷；後集4卷）	廣州五桂堂刻本	日本京都大學人文科學研究所	殘	/	南音	119	按：1有前集後集，除末頁殘外，內容完整，但掃描邊緣部分被遮蓋，內容銜接上不連貫或不完整，且掃描效果不好。2兩前後兩集八卷，內容齊全，掃描效果較好，而且從底本比對看，兩底本來源一致，建議收2。
183	2-新送玉簫琴全本（玉簫琴記）兩集八卷南邑程氏梅莊逸史修輯	佛山芹香閣板	廣州圖書館	全	選	南音	120	按：1有前集後集，除末頁殘外，內容完整，但掃描邊緣部分被遮蓋，內容銜接上不連貫或不完整，且掃描效果不好。2兩前後兩集八卷，內容齊全，掃描效果較好，而且從底本比對看，兩底本來源一致，建議收2。
184	玉蘭全集（黃玉蘭全集）	華興書局	廣東省立中山圖書館	全	選	龍舟歌？	18	/
185	玉蘭全集	民國鉛印本	順德區圖書館	/	/	/	38	未檢查，待核
186	玉蘭全集	會文閣鉛印本	鐵文軒	/	/	/	42	未徵集
187	玉蘭買水	公益埠會文閣	中山大學中國非物質文化遺產研究中心	全	選	龍舟歌？	5	/
188	打景哥	佛山保安堂民國乙未刊本	中山大學中國非物質文化遺產研究中心第6-8紮	/	/	/	/	題“連共六本”，疑不全，正文清晰度稍差。句子多重複，疑非此類。
189	新本打爛槓（打爛老婆槓）	省港五桂堂刻本	廣東省立中山圖書館	殘	/	龍舟歌	6	個別字殘，看能否補配。上圖復旦有以文堂本
190	1-世隆成親附偷詩稿	省港五桂堂 機器板	日本天理大學附屬天理圖書館	全	選	龍舟歌	3	"前者當與272偷詩稿分開著錄 倆者內容同，,2卷末少一行廣告），版心稍殘，建議選1."
191	2-世隆成親	省港五桂堂 機器板	廣東省立中山圖書館	全	/	龍舟歌	3	"前者當與272偷詩稿分開著錄 倆者內容同，,2卷末少一行廣告），版心稍殘，建議選1."
192	1-新選兩重花燭世間奇（張古董兩重花燭世間奇）四卷	五桂堂藏板民國十三年刻本	中山大學圖書館	全	/	南音-木魚書	69	按：1、2、3底本同，2缺卷三，3底本清晰度更好，建議選3
193	1-新選兩重花燭世間奇（張古董兩重花燭世間奇）四卷	五桂堂藏板民國十三年刻本	中山大學圖書館	全	/	南音-木魚書	69	按：1、2、3底本同，2缺卷三，3底本清晰度更好，建議選3
194	2-新選兩重花燭世間奇（張古董兩重花燭世間奇）四卷（缺卷三）	/	中山大學中國非物質文化遺產研究中心	缺	/	南音-木魚書	50	按：1、2、3底本同，2缺卷三，3底本清晰度更好，建議選3
195	3-新選兩重花燭世間奇（張古董兩重花燭世間奇）四卷	/	英國倫敦大學亞非學院圖書館	全	選	南音-木魚書	69	按：1、2、3底本同，2缺卷三，3底本清晰度更好，建議選3
196	1重訂石女嘆五更（正字龍舟石女嘆五更）	五桂堂機器板	金文京私藏	全	選	龍舟歌	3	2底本或更早，文字二者微有出入，建議均收。
197	1重訂石女嘆五更（正字龍舟石女嘆五更）	五桂堂機器板	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	3	2底本或更早，文字二者微有出入，建議均收。
198	2新本石女嘆五更（石女自嘆） 風流主人著	廣州五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	3	2底本或更早，文字二者微有出入，建議均收。
199	新選石出香蓮記（石出香蓮）六卷	省港五桂堂板刻本	日本金文京	全	選	南音-木魚書	110	/
200	1-四季蓮花二卷	五桂堂 歐亞電版	金文京私藏	全	待定	龍舟歌	8	三主體內容同，但行款不一，用字有異。1完整，但部分辨別難。2完整、清晰，與其他兩種下卷卷端不同（另兩種下卷卷端為其卷上最後三句）。3藏本存卷下，且異體字較多。收2還是1、2、4，請定。
201	2-四季蓮花二卷	廣州醉經堂，機器板	廣東省立中山圖書館	全	選	龍舟歌	6	三主體內容同，但行款不一，用字有異。1完整，但部分辨別難。2完整、清晰，與其他兩種下卷卷端不同（另兩種下卷卷端為其卷上最後三句）。3藏本存卷下，且異體字較多。收2還是1、2、4，請定。
202	3-四季蓮花二卷	廣州市成文堂印省城三元堂本	首都圖書館	殘	待定	龍舟歌	4	三主體內容同，但行款不一，用字有異。1完整，但部分辨別難。2完整、清晰，與其他兩種下卷卷端不同（另兩種下卷卷端為其卷上最後三句）。3藏本存卷下，且異體字較多。收2還是1、2、4，請定。
203	新訂四季蓮花全本（四季蓮花）四卷	醉經書局據佛山芹香閣刻本改板印行 刻本	中山大學圖書館	全	選	南音	54	與上內容不同。
204	大棚四季蓮花一卷	佛山瑞雲樓機器板	順德區圖書館	/	/	大棚戲	3	未檢查
205	生祭李彥貴	省港五桂堂板封面題機器板	廣東省立中山圖書館	全	選	龍舟歌	4	74卷端、書口：生祭彥貴。
206	1新選全本生祭李彥貴（生祭李彥貴全本）二卷	廣州德文堂據翰經堂刻本改板印行道光二十年刻本	日本京都大學人文科學研究所	全	選	南音-木魚書	29	74與365內容不同。
207	2生祭李彥貴二卷	廣州以文堂	俗文學叢刊460冊	/	/	南音-木魚書	/	/
208	全套仙凡記即郎劉晨採藥	廣文堂	德國巴伐利亞州立圖書館	全	選	龍舟歌？	12	79與308內容不同。
209	新刻全本劉晨採藥仙凡記（劉辰採藥）兩集八卷 南海西堠居士訂	五桂堂據丹柱堂刻本改板印行刻本	中山大學圖書館	全	選	南音-木魚書	143	/
210	仙凡相會（董永憶仙姬）	廣州五桂堂	廣東省立中山圖書館	全	選	龍舟歌？	4	/
211	仙姬送子	刻本	廣州圖書館	全	選	龍舟歌	3	俗：廣州以文堂板
212	白絲蘭問米	廣州醉經堂	俗文學叢刊417冊	/	/	龍舟歌	/	/
213	新選全本白羅衫（白羅衫全）四卷	廣州醉經堂據佛山會元樓刻本改板印行刻本	英國倫敦大學亞非學院圖書館	全	選	南音？	66	漏P9B、P10A。
214	白羅衫四卷 漳江閒情居士訂	廣州醉經堂據佛山會元樓木刻本	鐵文軒	/	/	/	66	未徵集，與上同
215	新本白羅衫四卷 （清）閒情居士編	清五桂堂刻本	國家圖書館35489	/	/	/	補數據	/
216	包公審郭槐二卷	廣州以文堂	俗文學叢刊457冊	/	/	南音	/	/
217	奶媽出身	廣州醉經堂	俗文學叢刊417冊	/	/	龍舟歌	/	/
218	奶媽放白鴿（存卷上）	廣州以文堂?玉書樓	俗文學叢刊417冊	/	/	龍舟歌	/	/
219	1-母諫心田（正字龍舟母諫心田）二卷	省港五桂堂據以文堂板改板印本	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	6	5僅存封面。1、2與3內容同，3存上集卷上，1與3藏板版面較好，字跡清晰，/墨丁。建議選1。
220	1-母諫心田（正字龍舟母諫心田）二卷	省港五桂堂據以文堂板改板印本	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	6	5僅存封面。1、2與3內容同，3存上集卷上，1與3藏板版面較好，字跡清晰，/墨丁。建議選1。
221	2-母諫心田二卷	成文堂印三元堂板	廣東省立中山圖書館	殘	/	龍舟歌	6	5僅存封面。1、2與3內容同，3存上集卷上，1與3藏板版面較好，字跡清晰，/墨丁。建議選1。
222	3-母諫心田二卷（存卷上）	廣州醉經書局機器板	查館藏	全	/	龍舟歌	3	5僅存封面。1、2與3內容同，3存上集卷上，1與3藏板版面較好，字跡清晰，/墨丁。建議選1。
223	4-母諫心田二卷	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	/	5僅存封面。1、2與3內容同，3存上集卷上，1與3藏板版面較好，字跡清晰，/墨丁。建議選1。
224	5-母諫心田二卷	以文堂板	廣東省立中山圖書館	殘	/	龍舟歌	1	5僅存封面。1、2與3內容同，3存上集卷上，1與3藏板版面較好，字跡清晰，/墨丁。建議選1。
225	1-考世系（正字龍舟考世系）二卷	省港五桂堂據舊本機器板改板印行	英國倫敦大學亞非學院圖書館	全	3選其1	龍舟歌	6	內容同，底本均佳，3選其一
226	1-考世系（正字龍舟考世系）二卷	省港五桂堂據舊本機器板改板印行	英國倫敦大學亞非學院圖書館	全	3選其1	龍舟歌	6	內容同，底本均佳，3選其一
227	2-考世系（歷朝故事考世系）二卷	五桂堂 機器板	廣東省立中山圖書館	全	3選其1	龍舟歌	5	內容同，底本均佳，3選其一
228	3-考世系（歷朝故事考世系）二卷	廣州醉經書局 機器板	廣東省立中山圖書館	全	3選其1	龍舟歌	6	內容同，底本均佳，3選其一
229	老女自嘆	廣州五桂堂 機器板	廣東省立中山圖書館	全	選	龍舟歌？	3	/
230	新本老女思夫嘆五更解心（老女思夫）	刻本	德國巴伐利亞州立圖書館	全	選	龍舟歌	3	/
231	老來難	省港五桂堂 機器板	廣東省立中山圖書館	全	選	龍舟歌？	3	/
232	改良老舉留人客（老舉留人客）	廣州五桂堂 機器板	廣東省立中山圖書館	全	選	龍舟歌	3	/
233	新出摣死仔依戲橋全本清唱南音老糠記（老糠記）二卷	醉經堂據丹柱堂刻本改板印行	中山大學中國非物質文化遺產研究中心	全	選	南音	31	/
234	1-南音再生緣摘錦（存封面）	廣州以文堂	廣東省立中山圖書館	殘	/	/	/	1存封面。[07]為封面。[08]為“抱主傷懷”；[09]為“金鑾殿輕生”；[20]為“ 萬壽宮訴恨”3原293-1（末頁殘）；4原293-2（封面殘）。3與4主體內容同，版式不同，個別用字有差異。相對說4底本較好。2與3、4下標籤題同，內容異。建議選2、3、4
235	2-正字再生緣摘錦二卷（存卷下）	廣州醉經書局 機器板	廣東省立中山圖書館	缺	選	南音-木魚書	7	1存封面。[07]為封面。[08]為“抱主傷懷”；[09]為“金鑾殿輕生”；[20]為“ 萬壽宮訴恨”3原293-1（末頁殘）；4原293-2（封面殘）。3與4主體內容同，版式不同，個別用字有差異。相對說4底本較好。2與3、4下標籤題同，內容異。建議選2、3、4
236	3-新刻正字再生緣摘錦（再生緣擇錦）二卷	廣州華興書局排印本	廣東省立中山圖書館	全	選	南音-木魚書	17	1存封面。[07]為封面。[08]為“抱主傷懷”；[09]為“金鑾殿輕生”；[20]為“ 萬壽宮訴恨”3原293-1（末頁殘）；4原293-2（封面殘）。3與4主體內容同，版式不同，個別用字有差異。相對說4底本較好。2與3、4下標籤題同，內容異。建議選2、3、4
237	4-新刻正字再生緣摘錦（正字再生緣擇錦）二卷	五桂堂機器板	廣州圖書館	全	選	南音-木魚書	20	1存封面。[07]為封面。[08]為“抱主傷懷”；[09]為“金鑾殿輕生”；[20]為“ 萬壽宮訴恨”3原293-1（末頁殘）；4原293-2（封面殘）。3與4主體內容同，版式不同，個別用字有差異。相對說4底本較好。2與3、4下標籤題同，內容異。建議選2、3、4
238	1接續再生緣新選再造天南音全本（再造天全）十六回十六卷	醉經堂據舊板（疑為丹柱堂）刻本改板印行	中山大學圖書館	全	選	南音	388	2初集缺卷二，二集缺卷七，三集缺卷九、十一；卷十六殘
239	1接續再生緣新選再造天南音全本（再造天全）十六回十六卷	醉經堂據舊板（疑為丹柱堂）刻本改板印行	中山大學圖書館	全	選	南音	388	2底本同，1全，建議選1。
240	2接續再生緣新選再造天南音全本（再造天全）十六回十六卷	醉經堂據舊板刻本改板印行	中山大學中國非物質文化遺產研究中心	缺	/	南音	/	復旦有丹桂堂本
241	1-新選原本西番棋子（西番棋子）兩集八卷 初集守拙主人訂稿 續集閒情居士訂	佛山芹香閣藏板光緒廿一年刻本	中山大學中國非物質文化遺產研究中心（缺卷二）	缺	參補	南音-木魚書	127	按：底本同。1金文京本與廣州圖書館本底本全，但金文京藏本複製效果差，廣州圖書館本蟲蛀破損嚴重，可用廣州圖書館本補中山大學中國非物質文化遺產研究中心本。
242	1-新選原本西番棋子（西番棋子）兩集八卷 初集守拙主人訂稿 續集閒情居士訂	佛山芹香閣藏板光緒廿一年刻本	日本金文京	全	參補	南音-木魚書	/	按：底本同。1金文京本與廣州圖書館本底本全，但金文京藏本複製效果差，廣州圖書館本蟲蛀破損嚴重，可用廣州圖書館本補中山大學中國非物質文化遺產研究中心本。
243	1-新選原本西番棋子（西番棋子）兩集八卷 初集守拙主人訂稿 續集閒情居士訂	佛山芹香閣藏板光緒廿一年刻本	/	/	參補	南音-木魚書	146	按：底本同。1金文京本與廣州圖書館本底本全，但金文京藏本複製效果差，廣州圖書館本蟲蛀破損嚴重，可用廣州圖書館本補中山大學中國非物質文化遺產研究中心本。
244	2-新選原本西番棋子（西番棋子）兩集八卷 初集守拙主人訂稿 續集閒情居士訂	佛山芹香閣藏板光緒廿一年刻本	廣州圖書館	全	參補	南音-木魚書	147	按：底本同。1金文京本與廣州圖書館本底本全，但金文京藏本複製效果差，廣州圖書館本蟲蛀破損嚴重，可用廣州圖書館本補中山大學中國非物質文化遺產研究中心本。
245	新刻碧玉帶全本（西番碧玉帶）四卷	五桂堂刻本	中山大學圖書館	全	選	南音-木魚書	76	/
246	新刻正字西番寶蝶（正字西番寶蝶全本）二卷	五桂堂刻本	日本京都大學人文科學研究所	全	選	南音	27	封面不清晰，可用卷二封面替換。中大亦有。
247	重訂西蓬擊掌（西蓬擊掌）	廣州五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	4	/
248	重訂西蓬擊掌	佛山芹香閣板	順德區圖書館	/	/	龍舟歌	/	與孔子博學合訂。未檢查。
249	有用通寶	刊本	俗文學叢刊418冊	/	/	龍舟歌	/	/
250	存孝道	廣州以文堂	俗文學叢刊418冊	/	/	龍舟歌	/	/
251	新刻朱文進焚屍救主手巾記X卷（存卷上）	仕集三堂	中山大學中國非物質文化遺產研究中心	/	待定	待定	12	似為其他唱曲，非收錄範圍？
252	朱洪武遊太廟	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	/
253	朱買臣別妻	廣州民智書局	廣東省立中山圖書館	全	選	龍舟歌？	16	/
254	朱買臣得志	廣州以文堂板	俗文學叢刊414冊	/	/	龍舟歌	/	/
255	自由女想靚仔	廣州五桂堂 機器板	廣東省立中山圖書館	全	選	龍舟歌？	3	/
256	行炸李準	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	9	/
257	1-新選全本合竹州鐮刀記二卷 閒情居士稿	省城成德堂藏板刻本	德國巴伐利亞州立圖書館	全	選	南音	26	按：1全，2缺，兩者內容大體同，版式不同，個別用字有異。收1還是兩者均收？
258	2-新選全本合竹州鐮刀記二卷 閒情居士稿	丹柱堂藏板	中山大學中國非物質文化遺產研究中心	缺	待定	南音	9	戲曲研究院有丹柱堂本。
259	多情嘆五更	香山鑑記	廣州圖書館	全	選	龍舟歌？	3	底本欠佳，上圖有其他底本。
260	收妲己（哪吒收妲己南音）二卷靜觀主人訂	廣州廣文堂	德國巴伐利亞州立圖書館	全	選	南音-木魚書	21	復旦有丹柱堂，國圖有五桂堂本
261	花木思嬌	省港五桂堂 機器板	日本天理大學附屬天理圖書館	全	選	龍舟歌？	7	/
262	花名嘆五更	刻本	俗文學叢刊416冊	/	/	龍舟歌	/	未見。
263	新本花色冷淡解心（新花色冷淡解心）	廣文堂刻本	德國巴伐利亞州立圖書館	全	選	龍舟歌？	3	/
264	新本花園擲戟（花園擲戟）二卷	省港五桂堂刻本（封面題機器版）	廣東省立中山圖書館	全	選	龍舟歌？	8	待核
265	花柳爭桃三結奇緣	莞城華翰堂木刻本	鐵文軒	殘	/	/	38	未徵集
266	重訂杜十娘沉八寶箱全本（杜十娘）三卷	廣州醉經堂書局機器板	廣東省立中山圖書館	全	選	龍舟歌	7	北師大、鐵文軒有
267	1-杏元投崖二卷（正字龍舟杏元投崖）（存卷下）	五桂堂	英國倫敦大學亞非學院圖書館	殘	/	龍舟歌	3	1殘，用俗文學本。
268	2-杏元投崖	廣州以文堂機器板	俗文學叢刊415冊	/	選	龍舟歌	6	1殘，用俗文學本。
269	1-杏元憶釵南音（正字龍舟杏元憶釵）	五桂堂據舊本機器板改板印行	英國倫敦大學亞非學院圖書館	全	1	南音？	3	兩者內容同，底本均較好，前者更佳。建議選1。題名既包含南音，又包含龍舟歌分類待定。
270	2-杏元憶釵南音（杏元憶釵）	省港漢華書局據五桂堂機器板改板印行	廣東省立中山圖書館	全	/	龍舟歌？	3	兩者內容同，底本均較好，前者更佳。建議選1。題名既包含南音，又包含龍舟歌分類待定。
271	李仙刺目	廣州以文堂板	俗文學叢刊415冊	/	/	龍舟歌	/	/
272	李仙刺目	廣州丹柱堂木刻本	鐵文軒	/	/	龍舟歌	3	未徵集。封面題李嬌十恨南音
273	李彩英拜月	廣州五桂堂機器板	1-日本天理大學附屬天理圖書館	全	任選其一	龍舟歌	3	/
274	李彩英拜月	廣州五桂堂機器板	2-廣東省立中山圖書館	全	任選其一	龍舟歌	3	/
275	李龍鬧酒三卷（卷上鬧酒--卷下尋妻迎艇--李龍奉旨迎親）	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	/
276	李龍閙酒（李龍鬧酒全）三卷	以文堂重訂刻本	中山大學中國非物質文化遺產研究中心	全	選	龍舟歌	7	上卷：李龍閙酒，中：李龍尋妻拆艇，下李龍奉旨迎親。
277	1-李龍尋妻（李龍鬧酒）二卷	省港五桂堂	廣東省立中山圖書館	全	選	龍舟歌	7	三底本主體內容同，但用字稍異，版式不同，用1還是1、2、3均收。
278	2-李龍尋妻（李龍鬧酒）二卷（存卷上）	廣州醉經書局電版	補館藏	缺	待定	龍舟歌	4	三底本主體內容同，但用字稍異，版式不同，用1還是1、2、3均收。
279	3-李龍尋妻（李龍鬧酒）二卷（存卷上）	成文堂	補館藏	缺	待定	龍舟歌	4	三底本主體內容同，但用字稍異，版式不同，用1還是1、2、3均收。
280	新刻正字車龍花燈記（車龍公子花燈記）二卷	省港五桂堂機器板	廣東省立中山圖書館	全	選	南音	21	版心殘。
281	車龍賣燈 暗計贈銀	民國鈔本	順德區圖書館	/	/	/	18	未檢查
282	新本肖女賣瘋警世良言（肖女賣瘋）	廣州五桂堂刻本	日本天理大學附屬天理圖書館	全	選	龍舟歌？	4	/
283	1-呆佬拜夀（存中卷）	醉經堂機器板	廣東省立中山圖書館	缺	/	龍舟歌	/	1缺，選2。
284	2-呆佬拜壽三卷	廣州以文堂	俗文學叢刊418冊	/	/	龍舟歌	/	1缺，選2。
285	1-男燒衣祭奠情人（男燒衣）	廣州醉經書局機器板	廣東省立中山圖書館	/	/	龍舟歌	3	三者內容同，版本均可，後兩者更佳。建議選2或3。復旦有以文堂本
286	2-男燒衣祭奠情人（正字龍舟男燒衣）	香港五桂堂據舊板印行	英國倫敦大學亞非學院圖書館	全	二選一	龍舟歌	3	三者內容同，版本均可，後兩者更佳。建議選2或3。復旦有以文堂本
287	2-男燒衣祭奠情人（正字龍舟男燒衣）	香港五桂堂據舊板印行	英國倫敦大學亞非學院圖書館	全	二選一	龍舟歌	3	三者內容同，版本均可，後兩者更佳。建議選2或3。復旦有以文堂本
288	3-男燒衣祭奠情人	廣州五桂堂 機器板	首都圖書館	全	二選一	龍舟歌	3	三者內容同，版本均可，後兩者更佳。建議選2或3。復旦有以文堂本
289	吹簫憶友	省港五桂堂	廣東省立中山圖書館	全	選	龍舟歌	3	/
290	新刻吳少姐憶母怨夫四季解心（龍舟歌吳小姐嘆五更）二卷（存卷下）	五桂堂刻本	日本天理大學附屬天理圖書館	缺	選	龍舟歌	3	上圖有以文堂本
291	1-新選牡丹亭還魂記全本（牡丹亭）二集八卷 南邑程秋泉編輯	廣州五桂堂刻本	英國倫敦大學亞非學院圖書館	全	選	南音	121	/
292	2-牡丹亭還魂記二集八卷	廣州五桂堂	俗文學叢刊463冊	/	/	南音	/	/
293	1新本秀容掃琴南音（新出龍舟秀容訴琴）	五桂堂刻本	廣州圖書館	/	/	龍舟歌	/	兩者內容同，2底本稍好。建議用2。
294	2新本秀容掃琴南音（正字龍舟秀容訴琴）	省港五桂堂刻本	英國倫敦大學亞非學院圖書館	全	/	龍舟歌	4	兩者內容同，2底本稍好。建議用2。
295	2新本秀容掃琴南音（正字龍舟秀容訴琴）	省港五桂堂刻本	英國倫敦大學亞非學院圖書館	全	/	龍舟歌	4	兩者內容同，2底本稍好。建議用2。
296	1-秀瓊起寺	廣州五桂堂 機器板	廣東省立中山圖書館	全	/	龍舟歌	3	復旦有丹柱堂本。三者主體內容同、版式不同，個別字有異。底本1與3較好。是三者均收，還是選其一，請定。
297	2-秀瓊起寺	廣州醉經書局 機器板	廣東省立中山圖書館	全	/	龍舟歌	4	復旦有丹柱堂本。三者主體內容同、版式不同，個別字有異。底本1與3較好。是三者均收，還是選其一，請定。
298	3-秀瓊起寺	成文堂	首都圖書館	全	/	龍舟歌	4	復旦有丹柱堂本。三者主體內容同、版式不同，個別字有異。底本1與3較好。是三者均收，還是選其一，請定。
299	1-私探營房（新出龍舟歌高君保私探營房）二卷	廣州以文堂	廣東省立中山圖書館	全	選	龍舟歌	8	四者主體內容同，排版、用字略有不同。1底本較差。2底本最好。4版面有破損。是四者均收，還是選擇其一。
300	2-私探營房（正字龍舟私探營房）二卷	香港五桂堂機器板	英國倫敦大學亞非學院圖書館	全	待定	龍舟歌	6	四者主體內容同，排版、用字略有不同。1底本較差。2底本最好。4版面有破損。是四者均收，還是選擇其一。
301	3-私探營房二卷	廣州醉經書局 機器板	廣東省立中山圖書館	全	待定	龍舟歌	6	四者主體內容同，排版、用字略有不同。1底本較差。2底本最好。4版面有破損。是四者均收，還是選擇其一。
302	4-私探營房二卷	省港五桂堂 機器板	廣州圖書館	全	待定	龍舟歌	7	四者主體內容同，排版、用字略有不同。1底本較差。2底本最好。4版面有破損。是四者均收，還是選擇其一。
303	何文秀	民國鈔本	順德區圖書館	/	/	/	23	未檢查
304	何文秀贈玉釵記	清五桂堂刻本	國家圖書館98113	/	/	/	補頁碼	/
305	伯皆大別（伯佳分別）	廣州五桂堂	日本天理大學附屬天理圖書館	全	選	龍舟歌	3	封面伯佳分別。卷端伯皆大別。  底本字跡較淺。
306	1-正字狄青比武（狄青比武）二卷（存卷下）	五桂堂	中山大學中國非物質文化遺產研究中心	殘	/	南音-木魚書	6	俗文學標為南音，網站標註為龍舟歌。復旦有
